name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
A.J. Derby,00-0031609,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,16,20,160.0,0,1.0,1.0,135.0,50.0,7.0,3.821746974164853,0,6.329072527872228,0.5233918128654971,0.3672983188097041,1.0421965424650386,0.0,14.0,30.0,6,0.0881057268722467,0.06450071667462971,0.08488964346349745,0.18375916364807382,0.0972644376899696,0.0,0.09333333333333334,0.08433734939759036,0.0486322188449848,0.07781155015197569,0.7048458149779736,0.06246096189881324
A.J. Green,00-0027942,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,66,100,964.0,4,0.0,0.0,1236.0,258.0,41.0,48.56423374032037,0,7.610160117806007,3.043265127942547,4.147094064070101,7.467863536762891,0.0,120.4,186.4,10,0.2777777777777778,0.40537881272548376,0.23201438848920863,0.7409697168470537,0.3492753623188406,0.36363636363636365,0.3153846153846154,0.3191489361702128,0.3564558629776021,0.35214756258234525,2.6777777777777776,0.20927360502975187
Aaron Burbridge,00-0032441,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,16,88.0,0,0.0,0.0,139.0,43.0,5.0,-1.150844018335441,0,4.431547619047619,0.5247489470315557,0.5972315270398361,1.2051854894752188,0.0,8.8,15.8,8,0.06299212598425197,0.06737760542898691,0.047149122807017545,0.14839027331956747,0.04756756756756757,0.0,0.05952380952380952,0.05154639175257732,0.023783783783783784,0.03805405405405406,0.3464566929133858,0.02509928514694202
Aaron Ripkowski,00-0031612,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,34,150.0,2,0.0,0.0,10.0,-0.8587508410347624,0,9,10,46.0,1,0.0,0.0,27.0,29.0,2.0,0.2837206163094379,0,8.351190476190476,0.2690389435126277,0.09834424472272268,0.4723993865748474,0.0,37.6,46.6,10,0.02493765586034913,0.008369497830130192,0.02074391988555079,0.044102082054627845,0.016140350877192983,0.037037037037037035,0.013422818791946308,0.017045454545454544,0.02658869395711501,0.020319688109161793,0.11471321695760599,0.04427553444180523
Aaron Rodgers,00-0023459,2016,REG,401,610,4428.0,40,7.0,35.0,246.0,5,2,5287.0,2030.0,222.0,132.41956615379067,1,14.190815455035041,2.5902934509982276,67,369.0,4,3.0,2.0,25.0,16.998949157743606,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,380.02,380.02,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23237128531246176
Adam Humphries,00-0032009,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,18.0,0,0.0,0.0,0.0,-0.37737646291498095,0,55,83,622.0,2,0.0,0.0,461.0,382.0,27.0,14.2263332833578,1,45.36269878336111,2.1925084352589157,1.1724393194601765,4.109470176510497,0.0,78.0,133.0,15,0.1503623188405797,0.08306306306306306,0.2815033161385409,0.29199392871132,0.1562421502135142,0.06896551724137931,0.1291866028708134,0.12184873949579832,0.11260383372744676,0.13878682361908723,1.1268115942028984,0.09913979456445578
Adam Thielen,00-0030035,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,15.0,0,0.0,0.0,1.0,0.837465520715341,0,69,92,967.0,5,1.0,0.0,989.0,299.0,44.0,50.3377507951227,0,16.3926333797365,2.4948993381671327,4.090802444853306,6.605910718648013,0.0,128.20000000000002,197.20000000000002,16,0.1564625850340136,0.25529168817759423,0.14729064039408868,0.4389272280930958,0.23476571983491137,0.25,0.21052631578947367,0.21397379912663755,0.24238285991745567,0.2378125758679291,1.6445578231292517,0.14487642892826708
Adrian Peterson,00-0025394,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,37,72.0,0,1.0,1.0,3.0,-18.0665626906557,0,3,6,8.0,0,0.0,0.0,2.0,11.0,0.0,-2.233887569978833,0,1.75,0.1811897779639715,0.009263435832554047,0.27826907202874507,0.0,6.0,9.0,3,0.05660377358490566,0.0023228803716608595,0.031791907514450865,0.0867639646746872,0.00984009840098401,0.0,0.0,0.0,0.004920049200492005,0.007872078720787209,0.07547169811320754,0.04230913877397518
Akeem Hunt,00-0031743,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,20,109.0,0,2.0,0.0,4.0,-1.4081612171495248,0,3,4,29.0,0,0.0,0.0,-10.0,37.0,1.0,-0.4209669788127104,0,-9.476190476190476,0.14303959131545338,-0.05497701472933671,0.1760754766626444,0.0,13.8,16.8,6,0.019704433497536946,-0.00576036866359447,0.07789473684210527,0.02494835531542984,0.02378999179655455,0.0,0.015873015873015872,0.015151515151515152,0.011894995898277276,0.01903199343724364,0.14285714285714285,0.040437105858566406
Alan Cross,00-0032745,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,10,38.0,1,0.0,0.0,42.0,11.0,3.0,2.519897711055819,0,10.365384615384615,0.29575682315620394,0.12703378942158797,0.5325588873294175,0.0,9.8,15.8,9,0.03076923076923077,0.012616401321718233,0.014175257731958763,0.056246967211220744,0.016101694915254237,0.07692307692307693,0.02459016393442623,0.02962962962962963,0.04651238591916558,0.028265971316818773,0.11692307692307692,0.021409214092140923
Albert Wilson,00-0030669,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,50.0,1,0.0,0.0,1.0,6.075565847801045,0,31,51,279.0,2,0.0,0.0,361.0,168.0,11.0,-6.600628063254966,0,7.96174824279663,1.4448543933135325,1.5592103873275713,3.258728861099599,0.0,50.900000000000006,81.9,14,0.10805084745762712,0.11398800126302494,0.09988109393579073,0.25326667219686066,0.08385933273219116,0.13333333333333333,0.0658682634730539,0.07142857142857142,0.10859633303276225,0.09375413285241961,0.5911016949152542,0.06951989678120332
Aldrick Robinson,00-0028116,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,32,323.0,2,0.0,0.0,399.0,76.0,14.0,16.79936072061537,0,9.144375493787258,1.0342898189993837,1.5603952698371435,2.643711417385076,0.0,44.300000000000004,64.3,13,0.07441860465116279,0.10603242094073877,0.0425531914893617,0.19645384372933522,0.08048841265885871,0.06666666666666667,0.07446808510638298,0.07339449541284404,0.07357753966276269,0.07772406346042031,0.7511627906976744,0.04592135521560897
Alex Collins,00-0032426,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,31,125.0,1,2.0,1.0,8.0,-3.5084965021233074,0,11,11,84.0,0,0.0,0.0,3.0,81.0,6.0,6.0708231529570185,0,18.083333333333332,0.28930363930363934,-0.010348548129568506,0.426711475264761,0.0,24.9,35.9,9,0.03313253012048193,0.0010423905489923557,0.0782608695652174,0.05053270761991678,0.03225806451612903,0.0,0.05084745762711865,0.045454545454545456,0.016129032258064516,0.025806451612903226,0.25301204819277107,0.04390577990851943
