name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
Bobo Wilson,00-0033434,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,11,35.0,0,0.0,0.0,135.0,3.0,2.0,-11.108800250629429,0,1.3657552214710926,0.29180492709904476,0.3498272746257615,0.6825864828866002,0.0,3.5,6.5,5,0.05641025641025641,0.06719761075161772,0.005008347245409015,0.1383734732166788,0.022392834293026232,0.0,0.02531645569620253,0.022222222222222223,0.011196417146513116,0.017914267434420986,0.1794871794871795,0.012852962113422446
Boston Scott,00-0034414,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,61,245.0,5,1.0,0.0,17.0,-4.025542852206854,0,24,26,204.0,0,1.0,0.0,-46.0,273.0,10.0,8.494156315631699,0,-3.8859014548669712,0.635,-0.21637788525982665,0.8010354803181212,0.0,74.9,98.9,8,0.08552631578947369,-0.020344980097302078,0.2532467532467532,0.11201348960636887,0.09798270893371758,0.0,0.09259259259259259,0.08333333333333333,0.04899135446685879,0.07838616714697406,0.6710526315789473,0.13238207420892006
Brandin Cooks,00-0031236,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,52.0,0,0.0,0.0,3.0,2.280170983518474,0,42,72,583.0,2,0.0,0.0,1004.0,169.0,32.0,18.556150601794137,0,20.85611139468645,1.8035661721681828,3.0940836148728548,4.8712077886632725,0.0,75.5,117.5,14,0.1258741258741259,0.22750963063675503,0.08132820019249277,0.37081889332059287,0.1370797084411004,0.09090909090909091,0.1553398058252427,0.14912280701754385,0.11399439967509566,0.1278455849346985,1.0192307692307692,0.08456157522021994
Brandon Allen,00-0032434,2019,REG,39,84,515.0,3,2.0,9.0,59.0,0,0,646.0,234.0,20.0,-21.54833991266867,0,2.378838452925213,0.0003924193538813042,10,39.0,0,0.0,0.0,4.0,5.024449531803839,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.5,32.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1737782055395145
Brandon Bolden,00-0029239,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,15,68.0,3,0.0,0.0,5.0,3.227606079832185,0,9,11,111.0,1,0.0,0.0,66.0,59.0,6.0,-0.1773866069270298,0,26.404761904761905,0.27003602490343837,0.24450131280428955,0.5762049563181603,0.0,41.9,50.9,9,0.030555555555555555,0.02547279042840602,0.05320108205590622,0.06621156567605815,0.04573547589616811,0.07692307692307693,0.05405405405405406,0.056451612903225805,0.06132927640962252,0.05197299610154987,0.30833333333333335,0.0608066134658575
Brandon Wilson,00-0033791,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.08928571428571429
Brandon Zylstra,00-0034052,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,12,106.0,0,0.0,0.0,160.0,10.0,5.0,5.457556423236383,0,2.101010101010101,0.2641018569589998,0.4373451987377488,0.7022944245549239,0.0,10.600000000000001,18.6,4,0.06976744186046512,0.1078894133513149,0.016339869281045753,0.1909626934717496,0.1075050709939148,0.0,0.09615384615384616,0.09433962264150944,0.0537525354969574,0.08600405679513184,0.6162790697674418,0.06622988178322176
Braxton Berrios,00-0034419,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,13,115.0,0,0.0,0.0,107.0,87.0,3.0,0.5288416584953666,0,8.85045045045045,0.47706880932687384,0.4745933759875267,1.0478185771815793,0.0,11.5,17.5,6,0.06403940886699508,0.05768194070080863,0.14871794871794872,0.14220466586113953,0.09527754763877382,0.0,0.04918032786885246,0.045454545454545456,0.04763877381938691,0.07622203811101906,0.5665024630541872,0.04660700969425802
Breshad Perriman,00-0032054,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,16.0,0,0.0,0.0,1.0,0.668429046520032,0,36,69,645.0,6,0.0,0.0,1128.0,127.0,29.0,29.587289192126466,0,7.330992507350323,1.9007882742810938,3.0058049262076043,4.955245859766963,0.0,102.1,138.1,14,0.12568306010928962,0.19915254237288135,0.07683000604960677,0.34784662406223954,0.142604466062348,0.2,0.13615023474178403,0.1440329218106996,0.171302233031174,0.15408357284987842,1.174863387978142,0.09720423447266174
Brett Hundley,00-0031589,2019,REG,5,11,49.0,0,0.0,2.0,11.0,0,0,114.0,34.0,2.0,-3.3660533055521373,0,0.6363636363636364,0.030803473641165466,7,41.0,0,0.0,0.0,3.0,1.8468682185630314,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0600000000000005,6.0600000000000005,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025778458397141397
Brett Kern,00-0025825,2019,REG,1,2,11.0,0,0.0,0.0,0.0,0,0,33.0,8.0,1.0,1.4956223342451267,0,3.6666666666666665,0.0,1,0.0,0,0.0,0.0,0.0,-2.776414760854095,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015304347826086957
