player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,1,REG,PIT,24,36,341.0,3,0.0,1.0,7.0,0,0,286.0,136.0,14.0,17.000393,0,1.1923077,0.20024872,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,25.64,25.64
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,2,REG,MIA,20,28,264.0,2,0.0,2.0,9.0,0,0,264.0,91.0,13.0,15.971406,0,1.0,0.25152072,2,1.0,1,0.0,0.0,1.0,0.6033521,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,24.66,24.66
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,3,REG,NYJ,28,42,306.0,2,0.0,0.0,-0.0,0,0,287.0,141.0,16.0,10.751857,0,1.066202,0.17948923,2,-1.0,0,0.0,0.0,0.0,-0.2949322,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.14,20.14
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,4,REG,BUF,18,39,150.0,0,1.0,0.0,-0.0,0,0,289.0,90.0,5.0,-15.861764,0,0.51903117,-0.040857814,3,-3.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,3.7,3.7
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,5,REG,WAS,28,42,348.0,3,1.0,4.0,36.0,0,0,316.0,151.0,16.0,13.1639805,0,1.1012658,0.17800564,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,23.92,23.92
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,6,REG,NYG,31,41,334.0,0,1.0,3.0,21.0,2,1,280.0,160.0,17.0,-2.4698274,0,1.1928571,0.14471062,7,6.0,2,0.0,0.0,3.0,-1.8098441,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.96,21.96
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,7,REG,NYJ,31,45,249.0,1,1.0,0.0,-0.0,0,0,223.0,123.0,12.0,4.3038864,0,1.1165919,0.1238302,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.96,11.96
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,8,REG,CLE,20,36,259.0,2,0.0,3.0,20.0,0,0,253.0,110.0,11.0,5.2036977,0,1.0237154,0.08122331,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.36,18.36
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,9,REG,BAL,30,46,285.0,1,1.0,2.0,17.0,0,0,318.0,155.0,17.0,2.100136,0,0.8962264,0.08585209,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.4,13.4
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2019,11,REG,PHI,26,47,216.0,0,0.0,1.0,7.0,0,0,333.0,134.0,13.0,-5.902884,0,0.6486486,-0.014931554,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.54,8.54
