player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,4,REG,JAX,30,47,282.0,1,0.0,3.0,16.0,1,0,399.0,121.0,14.0,3.419639,0,0.7067669,0.08816847,3,1.0,0,0.0,0.0,0.0,-2.4714897,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,15.38,15.38
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,5,REG,HOU,18,29,213.0,2,0.0,0.0,-0.0,0,0,238.0,67.0,10.0,10.849036,0,0.89495796,0.18020463,3,-3.0,0,0.0,0.0,0.0,-1.5333873,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.22,16.22
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,11,REG,ATL,23,32,213.0,2,2.0,2.0,11.0,0,0,186.0,147.0,11.0,-0.5869541,0,1.1451613,0.114172846,3,8.0,0,0.0,0.0,1.0,0.20464176,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.32,13.32
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,12,REG,TB,26,42,315.0,2,0.0,3.0,6.0,0,0,300.0,108.0,18.0,10.052799,0,1.05,0.15469448,3,-3.0,0,0.0,0.0,0.0,-1.2812113,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.3,20.3
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,13,REG,PIT,16,26,169.0,1,2.0,2.0,14.0,1,1,152.0,92.0,9.0,-10.810871,0,1.1118422,0.01484598,2,1.0,0,0.0,0.0,0.0,-1.0179952,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,4.86,4.86
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,14,REG,JAX,18,35,252.0,0,0.0,3.0,33.0,1,1,280.0,153.0,9.0,-11.710834,0,0.9,-0.04320976,1,10.0,0,0.0,0.0,1.0,1.0459284,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.08,9.08
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,15,REG,HOU,17,30,147.0,1,1.0,2.0,20.0,0,0,248.0,49.0,9.0,-3.7582614,0,0.5927419,0.005389085,1,1.0,0,0.0,0.0,0.0,-0.8171383,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,7.98,7.98
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,16,REG,MIA,8,15,99.0,0,0.0,1.0,1.0,0,0,97.0,42.0,5.0,2.4323847,0,1.0206186,0.017857185,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,3.96,3.96
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,1,REG,BAL,24,40,175.0,0,1.0,4.0,25.0,0,0,288.0,71.0,11.0,-12.047624,0,0.6076389,-0.015451902,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,4.9,4.9
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,2,REG,KC,26,45,256.0,3,1.0,3.0,18.0,0,0,452.0,58.0,15.0,-2.294928,0,0.5663717,0.057449043,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.24,20.24
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,3,REG,DET,31,42,324.0,2,1.0,1.0,11.0,0,0,261.0,156.0,14.0,8.196988,0,1.2413793,0.14827172,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.86,18.86
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,4,REG,MIN,17,27,213.0,1,2.0,2.0,13.0,0,0,236.0,80.0,11.0,-1.9692477,0,0.90254235,0.048702437,2,-2.0,0,0.0,0.0,0.0,-2.005663,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.32,8.32
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,5,REG,LV,22,35,266.0,0,2.0,2.0,12.0,0,0,287.0,141.0,11.0,-6.632555,0,0.9268293,0.021829126,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,6.64,6.64
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,6,REG,CLE,26,48,290.0,1,3.0,0.0,-0.0,0,0,466.0,144.0,15.0,-11.248588,0,0.6223176,-0.0048585916,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.6,9.6
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,8,REG,GB,21,29,340.0,0,1.0,0.0,-0.0,0,0,303.0,149.0,15.0,15.986145,0,1.1221122,0.23238027,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.6,11.6
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,9,REG,IND,21,36,281.0,2,2.0,1.0,7.0,0,0,389.0,128.0,13.0,3.688178,0,0.722365,0.08856448,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,15.24,15.24
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,10,REG,KC,5,20,35.0,0,4.0,2.0,9.0,1,0,290.0,24.0,1.0,-25.732754,0,0.12068965,-0.108079955,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-6.6,-6.6
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,17,REG,LAC,5,9,69.0,0,0.0,1.0,-0.0,0,0,140.0,16.0,4.0,0.09773984,0,0.49285713,0.04675952,2,-2.0,0,0.0,0.0,0.0,-1.6109338,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.56,2.56
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,19,POST,PIT,21,37,222.0,0,0.0,1.0,7.0,0,0,335.0,81.0,12.0,-6.8525786,1,0.6626866,-0.021017507,2,-1.0,0,1.0,0.0,0.0,-0.30144912,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,10.78,10.78
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,20,POST,NE,17,32,176.0,2,0.0,3.0,31.0,0,0,369.0,31.0,9.0,-2.4997437,0,0.47696477,0.003885645,3,11.0,0,1.0,1.0,1.0,-4.2969074,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.14,14.14
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,21,POST,CAR,13,23,141.0,0,1.0,5.0,37.0,2,1,159.0,60.0,5.0,-13.577485,1,0.8867925,-0.014987073,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,3.64,3.64
00-0018227,,Charles Woodson,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gohbupnj3mhletq96zzu",LV,2015,16,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-3.0,0,0.0,0.0,0.0,-0.9178577,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.3,-0.3
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,1,REG,PIT,25,32,288.0,4,0.0,2.0,7.0,0,0,235.0,137.0,19.0,15.96135,0,1.2255319,0.28898427,3,1.0,0,0.0,0.0,2.0,0.7416467,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,27.62,27.62
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,2,REG,BUF,38,59,466.0,3,0.0,2.0,15.0,1,1,501.0,205.0,20.0,10.445288,0,0.9301397,0.13269445,3,-4.0,0,0.0,0.0,0.0,-1.1992742,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,28.24,28.24
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,3,REG,JAX,33,42,358.0,2,0.0,2.0,12.0,0,0,192.0,211.0,19.0,22.56932,0,1.8645834,0.2792773,2,4.0,0,0.0,0.0,2.0,0.58869064,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,22.72,22.72
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,5,REG,DAL,20,27,275.0,2,0.0,5.0,28.0,1,0,153.0,180.0,11.0,10.904563,0,1.7973856,0.16845138,2,3.0,1,0.0,0.0,1.0,0.37169334,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,25.3,25.3
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,6,REG,IND,23,37,312.0,3,1.0,2.0,11.0,0,0,228.0,152.0,15.0,7.5655212,0,1.3684211,0.07522223,4,0.0,0,0.0,0.0,1.0,-2.9017172,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,22.48,22.48
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,7,REG,NYJ,34,54,355.0,2,0.0,3.0,18.0,0,0,382.0,116.0,17.0,7.731365,0,0.9293194,0.09712312,4,15.0,1,1.0,0.0,2.0,4.3403716,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,29.7,29.7
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,8,REG,MIA,26,38,356.0,4,0.0,2.0,14.0,0,0,323.0,189.0,16.0,15.967562,0,1.1021671,0.18863961,1,1.0,0,0.0,0.0,1.0,1.967082,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,30.34,30.34
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,9,REG,WAS,26,39,299.0,2,1.0,0.0,-0.0,0,0,269.0,180.0,15.0,13.6348295,0,1.1115241,0.15857098,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.86,17.86
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,10,REG,NYG,26,42,334.0,2,1.0,3.0,5.0,2,1,436.0,107.0,15.0,5.3574667,0,0.76605505,0.11827749,2,9.0,0,0.0,0.0,1.0,1.4422945,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.26,18.26
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,11,REG,BUF,20,39,277.0,1,1.0,1.0,6.0,0,0,347.0,158.0,12.0,2.9276896,0,0.7982709,0.017545376,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.08,13.08
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,12,REG,DEN,23,42,280.0,3,0.0,3.0,18.0,0,0,459.0,110.0,13.0,3.6687837,0,0.61002177,0.019610727,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,23.2,23.2
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,13,REG,PHI,29,56,312.0,3,2.0,4.0,24.0,0,0,564.0,119.0,17.0,-7.6964335,0,0.5531915,0.020541336,6,17.0,1,0.0,0.0,3.0,0.54576373,0,1,1,36.0,0,0.0,0.0,7.0,29.0,1.0,3.1290307,0,5.142857,0.017857144,0.012259195,0.03536715,0.0,31.78,32.78
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,14,REG,HOU,22,30,226.0,2,0.0,3.0,29.0,0,0,214.0,139.0,11.0,4.8418655,0,1.0560747,0.11472726,4,10.0,0,0.0,0.0,1.0,0.8716392,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.04,18.04
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,15,REG,TEN,23,35,267.0,2,0.0,2.0,14.0,0,0,200.0,182.0,12.0,12.52866,0,1.335,0.14555506,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.68,18.68
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,16,REG,NYJ,22,31,231.0,1,1.0,2.0,10.0,0,0,227.0,117.0,13.0,4.912707,0,1.0176212,0.15185414,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.14,11.14
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,17,REG,MIA,12,21,134.0,0,0.0,2.0,14.0,1,0,185.0,112.0,3.0,-3.7843602,0,0.72432435,0.018047512,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,5.26,5.26
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,19,POST,KC,28,42,302.0,2,0.0,0.0,-0.0,0,0,276.0,126.0,17.0,8.832778,0,1.0942029,0.15727155,6,6.0,1,0.0,0.0,1.0,-0.014660653,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,26.68,26.68
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2015,20,POST,DEN,27,56,310.0,1,2.0,4.0,18.0,0,0,460.0,127.0,13.0,-10.175937,0,0.67391306,-0.04734971,3,13.0,0,0.0,0.0,2.0,2.192253,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.7,13.7
00-0020245,,Mike Vick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",PIT,2015,2,REG,SF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,-3.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.3,-0.3
00-0020245,,Mike Vick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",PIT,2015,3,REG,LA,5,6,38.0,0,0.0,2.0,11.0,1,0,21.0,20.0,1.0,-4.590486,0,1.8095238,0.0997995,2,-2.0,0,0.0,0.0,0.0,-1.6898444,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.32,1.32
00-0020245,,Mike Vick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",PIT,2015,4,REG,BAL,19,26,124.0,1,0.0,4.0,28.0,0,0,178.0,46.0,8.0,-15.846286,0,0.6966292,0.07355903,9,33.0,0,1.0,0.0,2.0,-2.14207,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,12.26,12.26
00-0020245,,Mike Vick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",PIT,2015,5,REG,LAC,13,26,203.0,1,1.0,3.0,9.0,0,0,324.0,108.0,5.0,-2.3846574,0,0.6265432,0.009922923,1,24.0,0,0.0,0.0,1.0,1.3725741,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,12.52,12.52
00-0020245,,Mike Vick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",PIT,2015,6,REG,ARI,3,8,6.0,0,0.0,1.0,5.0,0,0,108.0,19.0,0.0,-7.823278,0,0.055555556,-0.07781661,5,47.0,0,0.0,0.0,1.0,2.455151,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,4.94,4.94
00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",BAL,2015,1,REG,DEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,7,13.0,0,0.0,0.0,60.0,7.0,1.0,-10.770362,0,0.21666667,0.21875,0.3125,0.546875,0.0,1.3,3.3
00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",BAL,2015,2,REG,LV,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,10,16,150.0,0,0.0,0.0,208.0,48.0,7.0,5.6318135,0,0.72115386,0.35555556,0.460177,0.85545725,0.0,15.0,25.0
00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",BAL,2015,3,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,13,17,186.0,2,0.0,0.0,86.0,111.0,7.0,14.858107,0,2.1627908,0.35416666,0.29757786,0.7395545,0.0,30.6,43.6
00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",BAL,2015,4,REG,PIT,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,7,24.0,0,0.0,0.0,37.0,15.0,1.0,-6.674662,0,0.6486486,0.21212122,0.18781726,0.4496539,0.0,2.4,6.4
00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",BAL,2015,6,REG,SF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,10,137.0,1,0.0,0.0,176.0,18.0,6.0,7.817991,0,0.77840906,0.1923077,0.31095406,0.5061294,0.0,19.7,26.7
00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",BAL,2015,7,REG,ARI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,9,78.0,0,0.0,0.0,70.0,35.0,4.0,5.6585646,0,1.1142857,0.23076923,0.2892562,0.54863316,0.0,7.8,12.8
