name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
A.J. Derby,00-0031609,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,48.0,1,0.0,0.0,44.0,9.0,3.0,2.0039898841059767,0,3.6314935064935066,0.18417874396135264,0.25227784525796393,0.45286260762260366,0.0,10.8,13.8,3,0.05952380952380952,0.0713128038897893,0.022113022113022112,0.14633595739754574,0.0664819944598338,0.16666666666666666,0.0967741935483871,0.10810810810810811,0.11657433056325023,0.08651892890120037,0.5714285714285714,0.05524861878453039
A.J. Green,00-0027942,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,77,694.0,6,2.0,1.0,958.0,163.0,37.0,29.637858022653795,0,9.39436674092629,2.1881702477739062,3.6018699222483352,5.803564317234694,0.0,103.4,149.4,9,0.23123123123123124,0.37305295950155765,0.15733590733590733,0.6452892144480931,0.2919646613378208,0.3333333333333333,0.30327868852459017,0.30714285714285716,0.31264899733557705,0.3002383957369233,2.084084084084084,0.17955004326507065
A.J. McCarron,00-0031288,2018,REG,1,3,8.0,0,0.0,1.0,7.0,0,0,7.0,1.0,0.0,-2.6052306575584225,0,1.1428571428571428,0.0,3,-2.0,0,0.0,0.0,0.0,-3.2460008922498673,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010334137099552187
Aaron Jones,00-0033293,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,133,728.0,8,1.0,1.0,41.0,6.515641396873466,0,26,35,206.0,1,0.0,0.0,9.0,221.0,12.0,3.2120178364370577,0,-17.43939393939394,1.063677220279,0.01921708367738846,1.6089677889926721,0.0,145.4,171.4,12,0.07510729613733906,0.002128162686214235,0.13908118313404658,0.11436347435497997,0.06046375110067508,0.05263157894736842,0.07547169811320754,0.07303370786516854,0.056547665024021754,0.05889731667001375,0.44206008583690987,0.1501296335225282
Aaron Rodgers,00-0023459,2018,REG,372,597,4442.0,25,2.0,49.0,353.0,4,3,5241.0,2134.0,200.0,52.818098437914315,2,13.611298157500814,1.4524689174493042,43,269.0,2,2.0,0.0,20.0,21.60011717453403,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,312.58,312.58,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20340196257060308
Adam Humphries,00-0032009,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,11.0,0,0.0,0.0,0.0,0.380142375419382,0,76,105,816.0,5,0.0,0.0,661.0,415.0,48.0,39.92049099955332,0,19.47501282315101,2.7552574634442415,1.5610460733900098,5.225618446539369,0.0,112.7,188.7,16,0.168,0.09951821740439627,0.23459581684567551,0.331614573923517,0.1522956326987682,0.1388888888888889,0.1811320754716981,0.1760797342192691,0.14559226079382853,0.14961428393679235,1.3056,0.11296560146549968
Adam Shaheen,00-0033896,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,6,48.0,1,0.0,0.0,59.0,13.0,3.0,3.6208426204975694,1,2.642857142857143,0.19039408866995072,0.28460743801652894,0.48481633961649634,0.0,12.8,17.8,4,0.046875,0.05858987090367428,0.03494623655913978,0.11718439672293943,0.05150214592274678,0.16666666666666666,0.0625,0.07407407407407407,0.10908440629470673,0.07453505007153076,0.375,0.05296358009997619
Adam Thielen,00-0030035,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,30.0,0,0.0,0.0,1.0,-1.2461897156899795,0,113,153,1373.0,9,1.0,1.0,1443.0,416.0,74.0,56.116848056564145,1,16.191881764362847,4.049567225546488,5.536064467850445,9.949595965815043,0.0,194.3,307.3,16,0.2524752475247525,0.32825295723384895,0.21366204417051873,0.6413152370742079,0.3194509073987901,0.3,0.3394495412844037,0.3346774193548387,0.3097254536993951,0.3155607259190321,2.2656765676567656,0.2045911505838804
Adrian Peterson,00-0025394,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,251,1042.0,7,2.0,1.0,47.0,-24.2657921242776,0,20,26,208.0,1,1.0,1.0,9.0,201.0,9.0,2.6784218707471155,0,47.43452380952381,0.8467009887830886,0.060470302673606605,1.3123806950461576,0.0,169.0,189.0,16,0.05108055009823183,0.0021454112038140644,0.13267326732673268,0.078337154110399,0.06327958624885914,0.0625,0.057692307692307696,0.05813953488372093,0.06288979312442958,0.06312366899908732,0.4086444007858546,0.16426497940169305
Akiem Hicks,00-0029657,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,2.6424300163635053,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06171590449210845
Alan Cross,00-0032745,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,5,9.0,0,0.0,0.0,12.0,7.0,1.0,-3.6427381681860425,0,1.5,0.13189940141159653,0.03609521791339973,0.22311575465677463,0.0,0.9000000000000001,2.9000000000000004,4,0.033112582781456956,0.008086253369272238,0.01647058823529412,0.05613787686760323,0.00706436420722135,0.0,0.015384615384615385,0.013333333333333334,0.003532182103610675,0.00565149136577708,0.059602649006622516,0.00671825047491081
Albert Wilson,00-0030669,2018,REG,1,1,52.0,1,0.0,0.0,0.0,0,0,19.0,33.0,1.0,4.3519763082731515,0,2.736842105263158,0.0,8,16.0,0,0.0,0.0,2.0,-2.3239880710607395,0,26,35,391.0,4,0.0,0.0,246.0,335.0,11.0,10.864029575372115,0,15.078159938525792,1.190399962356484,1.1635221441222965,2.6000654444203337,0.0,70.78,96.78,7,0.16666666666666666,0.14146060954571593,0.3617710583153348,0.3631684876365727,0.233015494636472,0.26666666666666666,0.14864864864864866,0.16853932584269662,0.24984108065156935,0.23974572904251096,1.861904761904762,0.1597767945585419
Aldrick Robinson,00-0028116,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,17,35,231.0,5,0.0,0.0,601.0,42.0,12.0,9.123688747541161,0,9.682741600667885,1.0173327965954695,2.390498290898134,3.1993479985218976,0.0,53.1,70.1,14,0.06704980842911877,0.158994708994709,0.025941939468807906,0.22777047983944534,0.06365389914577019,0.20833333333333334,0.06557377049180328,0.0821256038647343,0.13599361623955175,0.09258978598328282,0.4425287356321839,0.054982117086026225
Alex Collins,00-0032426,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,114,411.0,7,3.0,3.0,22.0,-20.044759691663785,0,15,21,105.0,1,0.0,0.0,27.0,97.0,6.0,-0.05134502309374511,0,21.636904761904763,0.48352700222114325,0.06511284933356723,0.770869497865212,0.0,93.60000000000001,108.6,10,0.05121951219512195,0.007663922793074085,0.08874656907593778,0.08296040652714219,0.038860103626943004,0.07692307692307693,0.045112781954887216,0.04794520547945205,0.057891590275009966,0.04647269828616979,0.25609756097560976,0.11729381777336155
Alex Erickson,00-0032543,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,22.0,0,0.0,0.0,1.0,1.4353237241739407,0,20,29,167.0,0,0.0,0.0,265.0,75.0,7.0,1.3854515431540495,0,5.746453144279231,0.9826546496950304,0.9914745474431194,2.168014157752729,0.0,18.900000000000002,38.900000000000006,11,0.08123249299719888,0.09007477906186268,0.0730282375851996,0.19390856274528848,0.07402482269503546,0.0,0.0603448275862069,0.05303030303030303,0.03701241134751773,0.05921985815602837,0.4677871148459384,0.04551624075634186
Alex Smith,00-0023436,2018,REG,205,328,2180.0,10,5.0,22.0,121.0,3,1,2650.0,975.0,106.0,-6.617012404721574,0,9.36852666728355,0.6978180241843718,41,168.0,1,3.0,0.0,15.0,11.927961189125199,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17440537876298562
Alexander Armah,00-0033296,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,9,15.0,2,0.0,0.0,3.0,1.3033891574596055,0,1,1,5.0,0,0.0,0.0,0.0,5.0,0.0,0.05999423435423523,0,0.0,0.03333333333333333,0.0,0.05,0.0,14.0,15.0,8,0.0038910505836575876,0.0,0.0051387461459403904,0.005836575875486381,0.0026469031233456856,0.0,0.0,0.0,0.0013234515616728428,0.0021175224986765486,0.019455252918287938,0.020049187339606502
Alfred Blue,00-0031075,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,150,499.0,2,0.0,0.0,25.0,-32.49448738550424,0,20,27,154.0,0,0.0,0.0,73.0,107.0,4.0,-7.815805801887387,0,17.977218614718616,0.7601783294668186,0.2748972830903526,1.332695592363475,0.0,77.3,97.3,16,0.0533596837944664,0.01683191145953424,0.061038220193953226,0.09350505485932699,0.03697478991596639,0.0,0.019801980198019802,0.017543859649122806,0.018487394957983194,0.02957983193277311,0.30434782608695654,0.06793743890518084
Alfred Morris,00-0029141,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,111,428.0,2,2.0,1.0,24.0,-17.318682814168127,0,8,13,73.0,0,0.0,0.0,-4.0,67.0,5.0,-2.306180398503784,0,10.833333333333332,0.3645689033189033,-0.012817089738972703,0.5378813921610741,0.0,60.1,68.1,11,0.03591160220994475,-0.001563721657544957,0.04158907510862818,0.052616425988881166,0.025605050859347597,0.0,0.03597122302158273,0.031446540880503145,0.012802525429673799,0.02048404068747808,0.20165745856353592,0.07083125312031952
Allen Hurns,00-0030821,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,35,295.0,2,1.0,0.0,399.0,78.0,11.0,13.281690645253692,0,11.186032904806371,1.1464968526479307,1.6107694314436865,2.8472838809824763,0.0,41.5,61.5,13,0.07918552036199095,0.11535125758889853,0.05003207184092367,0.21105928661410525,0.09029690847872666,0.1,0.07142857142857142,0.07471264367816093,0.09514845423936333,0.09223752678298133,0.667420814479638,0.053544376534503474
Allen Lazard,00-0034521,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,7.0,0,0.0,0.0,7.0,0.0,0.0,0.3258859268389642,0,1.0,0.027777777777777776,0.018469656992084433,0.054595426561125766,0.0,0.7000000000000001,1.7000000000000002,1,0.025,0.01728395061728395,0.0,0.05132716049382716,0.04430379746835443,,0.0,0.0,,,0.175,0.03888380603842635
Allen Robinson,00-0031428,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,9.0,0,0.0,0.0,0.0,0.952265334315598,0,55,94,754.0,4,1.0,1.0,1141.0,216.0,36.0,22.306216246284446,0,8.29404115986237,2.9237382510909256,4.370917684667779,7.445249755903833,0.0,98.30000000000001,153.3,13,0.2151029748283753,0.3008966244725738,0.1570909090909091,0.563371761820622,0.23350882626200062,0.16,0.23376623376623376,0.22346368715083798,0.1967544131310003,0.2188070610096005,1.7254004576659039,0.1300629528447559
Alshon Jeffery,00-0029137,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,65,92,843.0,6,1.0,0.0,1013.0,272.0,48.0,46.4148498041165,0,12.200803873689571,2.5649678939095817,3.801819420824044,6.508725435441203,0.0,120.3,185.3,13,0.19206680584551147,0.28447065431058693,0.1496149614961496,0.5156767322167368,0.22166710491717065,0.2222222222222222,0.25396825396825395,0.25,0.22194466356969644,0.22177812837818098,1.7599164926931106,0.1443348756056145
Alvin Kamara,00-0033906,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,194,883.0,14,0.0,0.0,57.0,12.211844029554008,3,81,105,709.0,4,0.0,0.0,192.0,642.0,31.0,20.95239711246513,0,16.790530870928173,3.0879682607387227,0.5658264785704428,5.028030926107394,0.0,273.2,354.2,15,0.2112676056338028,0.05284888521882741,0.34796747967479674,0.35918051662576617,0.17480276134122288,0.125,0.15346534653465346,0.14957264957264957,0.14990138067061143,0.1648422090729783,1.4265593561368208,0.22547010070403706
Amari Cooper,00-0031544,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,20.0,0,0.0,0.0,1.0,1.2917272547492757,0,75,107,1005.0,7,2.0,2.0,1048.0,415.0,53.0,28.44602030670071,0,19.86883780545081,2.9548228132868966,4.043084680205005,7.262393496073847,0.0,140.5,215.5,15,0.1931407942238267,0.28439620081411127,0.18114360541248364,0.5172281519870291,0.2364149611856034,0.3333333333333333,0.2623762376237624,0.26905829596412556,0.28487414725946836,0.2557986356151494,1.8140794223826715,0.15502035766181824
Ameer Abdullah,00-0032104,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,-0.4378723145928234,0,3,4,28.0,0,0.0,0.0,17.0,28.0,1.0,1.6671648516203277,0,9.0,0.12034482034482034,0.04709458739338798,0.2134834416926021,0.0,2.9000000000000004,5.9,4,0.0273972602739726,0.01581395348837209,0.05273069679849341,0.053747053201656576,0.02475685234305924,0.0,0.016666666666666666,0.014492753623188406,0.01237842617152962,0.019805481874447393,0.1917808219178082,0.015057166190281747
Andre Holmes,00-0028263,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,24,162.0,0,0.0,0.0,313.0,50.0,8.0,1.09109961532522,0,7.395936321742774,0.8194192754293517,1.2488084163307085,2.1032948045755235,0.0,16.2,29.2,11,0.06593406593406594,0.10235448005232178,0.050505050505050504,0.18078468294295635,0.0783744557329463,0.0,0.07920792079207921,0.07476635514018691,0.03918722786647315,0.06269956458635705,0.44505494505494503,0.043950751076191334
Andre Roberts,00-0027691,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,20.0,0,0.0,0.0,1.0,1.4035250761080533,0,10,18,79.0,1,0.0,0.0,153.0,17.0,4.0,-6.519613921060227,0,2.5400326797385624,0.5642424242424242,0.3980578811712916,1.1250041531835404,2.0,27.9,37.9,8,0.07346938775510205,0.06324927656056221,0.025835866261398176,0.16080350288110284,0.04805352798053528,0.08333333333333333,0.05194805194805195,0.056179775280898875,0.06569343065693431,0.05510948905109489,0.3224489795918367,0.0617404619945916
Andrew Luck,00-0029668,2018,REG,430,639,4593.0,39,15.0,18.0,134.0,5,1,4770.0,1968.0,236.0,111.17987004126817,2,16.245119955396497,2.1688537776854284,46,148.0,0,1.0,0.0,12.0,-9.114091660718213,0,1,2,4.0,0,0.0,0.0,8.0,0.0,1.0,0.4688836843669928,0,1.0,0.05756578947368421,0.029019607843137257,0.10666240970072238,0.0,326.92,327.92,16,0.003105590062111801,0.0016474464579901153,0.0,0.005976342259559795,0.0008705114254624592,0.0,0.004219409282700422,0.0036231884057971015,0.0004352557127312296,0.0006964091403699674,0.006211180124223602,0.19506275652846353
Andy Dalton,00-0027973,2018,REG,226,365,2566.0,21,11.0,21.0,157.0,1,0,2947.0,1142.0,132.0,27.37702385996771,0,10.205754767584779,0.9252197597222712,16,99.0,0,0.0,0.0,4.0,-3.237778376951241,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,174.54,174.54,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17443533879672196
Andy Janovich,00-0032956,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,5.0,0,0.0,0.0,2.0,2.2995016304776073,0,8,10,112.0,1,0.0,0.0,51.0,63.0,5.0,9.623366232680581,0,2.4653679653679648,0.32614084067673127,0.15567072309255775,0.5981807671798872,0.0,17.7,25.700000000000003,9,0.03076923076923077,0.022348816827344433,0.06961325966850829,0.0640328996157217,0.05608412618928393,0.16666666666666666,0.058823529411764705,0.06593406593406594,0.1113753964279753,0.07820063428476048,0.3446153846153846,0.03625437309558741
Andy Jones,00-0032707,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,11,24,80.0,1,0.0,0.0,219.0,26.0,6.0,-3.6557247393147807,0,3.3190508322087267,0.7261027261027261,1.0077863723785767,1.7946045498190928,0.0,14.0,25.0,5,0.14457831325301204,0.2166172106824926,0.048417132216014895,0.39016123842551215,0.08163265306122448,0.25,0.11764705882352941,0.12727272727272726,0.16581632653061223,0.11530612244897959,0.4819277108433735,0.06838074398249452
Anthony Firkser,00-0033455,2018,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,19,20,225.0,1,0.0,0.0,133.0,97.0,12.0,18.439273442954843,0,15.733048807576061,0.8427117610026156,0.7335864636007482,1.777578166024447,0.0,28.5,47.5,8,0.0975609756097561,0.0778688524590164,0.12185929648241206,0.20863654538184728,0.13297872340425532,0.1111111111111111,0.1643835616438356,0.15853658536585366,0.12204491725768321,0.12860520094562647,1.0975609756097562,0.07888006908233418
Anthony Miller,00-0034353,2018,REG,1,1,8.0,0,0.0,0.0,0.0,0,0,-6.0,14.0,1.0,1.5813229362247512,0,0.0,0.0,6,26.0,0,1.0,0.0,0.0,0.140340416575782,0,33,54,423.0,7,0.0,0.0,604.0,170.0,19.0,22.69112068935801,0,12.228567082124377,1.7369732243664666,1.9752599179814379,3.9881417791367064,0.0,87.22000000000001,120.22000000000001,14,0.11790393013100436,0.15009940357852883,0.12667660208643816,0.2969354180593296,0.13394553514882837,0.35,0.12582781456953643,0.15204678362573099,0.24197276757441416,0.17715642811906268,0.9235807860262009,0.10213930094645801
