name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
A.J. Brown,00-0035676,2021,REG,0,2,0.0,0,0.0,0.0,0.0,0,0,42.0,0.0,0.0,-1.2514583478914574,0,0.0,0.0,2,10.0,0,0.0,0.0,1.0,0.552041839924641,0,63,105,869.0,5,0.0,0.0,1218.0,235.0,45.0,33.827210485994684,0,8.96489038855293,3.5990189195336253,5.815964172267095,9.469703299887405,0.0,117.9,180.9,13,0.26119402985074625,0.3908857509627728,0.1733038348082596,0.7044996455463376,0.2887043189368771,0.23809523809523808,0.29411764705882354,0.28735632183908044,0.26339977851605756,0.2785825027685493,2.1616915422885574,0.15815702045812205
A.J. Green,00-0027942,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,54,92,848.0,3,0.0,0.0,1109.0,181.0,37.0,29.420385656513346,0,12.32139607765746,2.637033525216123,4.299310286845871,6.9650674886162935,0.0,102.80000000000001,156.8,16,0.16312056737588654,0.2576074332171893,0.08727097396335583,0.45076679763758126,0.1955268618860964,0.11538461538461539,0.18226600985221675,0.17467248908296942,0.1554557386353559,0.1794984125858002,1.50354609929078,0.1015688763943049
AJ Dillon,00-0036265,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,187,803.0,5,1.0,1.0,50.0,6.161987401777878,0,34,37,313.0,2,1.0,0.0,14.0,310.0,15.0,17.030979303788627,0,-102.36556776556776,1.0736608654540343,0.061729587621716826,1.6537020095162531,0.0,151.6,185.6,17,0.06239460370994941,0.0030581039755351682,0.12863070539419086,0.09603838874535224,0.06915598762704375,0.05128205128205128,0.06382978723404255,0.06204379562043796,0.060219019454547516,0.06558120035804527,0.5278246205733558,0.1108960110896011
Aaron Jones,00-0033293,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,171,799.0,4,1.0,1.0,37.0,1.5054791104249756,0,52,65,391.0,6,1.0,0.0,56.0,412.0,22.0,9.132481807726744,0,-34.43906926406926,1.9825219872895394,0.32352782902435173,3.200252461251355,0.0,177.0,229.0,15,0.12380952380952381,0.013655206047305536,0.20396039603960395,0.19663845055213014,0.1010597053502197,0.1875,0.10784313725490197,0.11864406779661017,0.14427985267510984,0.11834776428017577,0.7447619047619047,0.15892182989118364
Aaron Rodgers,00-0023459,2021,REG,366,531,4115.0,37,4.0,30.0,188.0,1,0,4084.0,2177.0,213.0,129.76606195780067,0,16.83842883558605,2.84116520492683,33,101.0,3,2.0,0.0,10.0,5.831224214693066,0,1,1,-4.0,0,0.0,0.0,-4.0,0.0,0.0,-1.2434462904930115,0,0.0,0.03225806451612903,-0.011299435028248588,0.04047749225441954,0.0,332.3,333.3,16,0.0017889087656529517,-0.0009287206872533086,0.0,0.001940386598676781,-0.0009225092250922509,0.0,0.0,0.0,-0.00046125461254612545,-0.0007380073800738007,-0.007155635062611807,0.20729674594487016
Adam Humphries,00-0032009,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,41,62,383.0,0,0.0,0.0,411.0,158.0,23.0,-6.258268998434428,0,19.33620175221312,1.989545338209255,1.7276409579709169,4.193666677893525,0.0,38.300000000000004,79.3,17,0.11272727272727273,0.09975728155339805,0.08333333333333333,0.24889673433362755,0.10224239188467699,0.0,0.1270718232044199,0.11386138613861387,0.05112119594233849,0.0817939135077416,0.6963636363636364,0.05933230580454008
Adam Prentice,00-0036727,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,5.0,0,0.0,0.0,2.0,-0.5032342816703022,0,3,3,16.0,0,0.0,0.0,1.0,15.0,1.0,-0.19503525120671839,0,10.0,0.12267080745341614,0.0056179775280898875,0.18793879544978714,0.0,2.1,5.1,4,0.029411764705882353,0.001589825119236884,0.03968253968253968,0.045389507154213034,0.022922636103151862,0.0,0.03225806451612903,0.027777777777777776,0.011461318051575931,0.01833810888252149,0.1568627450980392,0.020968670339610227
Adam Shaheen,00-0033896,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,16,110.0,0,0.0,0.0,92.0,41.0,5.0,2.7934769367761025,0,9.621774193548386,0.43445198592257417,0.3471304300365782,0.894669279909466,0.0,11.0,23.0,7,0.06130268199233716,0.049014384656366546,0.05093167701863354,0.131165530713599,0.06107717934480844,0.0,0.054945054945054944,0.049019607843137254,0.03053858967240422,0.04886174347584676,0.421455938697318,0.03900023739274935
Adam Thielen,00-0030035,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2.0,0,0.0,0.0,0.0,-0.1940601826645434,0,67,95,726.0,10,1.0,0.0,903.0,239.0,37.0,24.06156817936718,0,10.933711930496013,2.6463330606747246,3.4857604881629842,6.409531932726176,0.0,132.8,199.8,13,0.19467213114754098,0.24511400651465798,0.14067098293113597,0.48809940193303786,0.19605725087766676,0.38461538461538464,0.2138728323699422,0.23618090452261306,0.2903363177465257,0.23376887762521034,1.4877049180327868,0.15405730499953738
Adam Trautman,00-0036422,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,27,43,263.0,2,1.0,1.0,245.0,111.0,13.0,-7.319787527787668,0,15.811439057594216,1.4088644025057069,1.0255522015649965,2.831183144854058,0.0,36.300000000000004,63.3,11,0.12573099415204678,0.08857556037599422,0.10364145658263306,0.2594569395288655,0.1111111111111111,0.08,0.10655737704918032,0.10204081632653061,0.09555555555555556,0.10488888888888889,0.7690058479532164,0.06634663759852423
